#翻译
dailySheetName	国服日报
dailyExcelBase	D:/sever/apache-tomcat-6.0.16.other/webapps/stat_common_mieshi/excel/daily
杏花村	杏花村
屠苏酒	屠蘇酒
妙沁药酒	妙沁藥酒
屠魔帖●降魔	屠魔帖●降魔
屠魔帖●逍遥屠	屠魔帖●逍遙屠
屠魔帖●霸者屠	屠魔帖●霸者屠
屠魔帖●朱雀屠	屠魔帖●朱雀屠
屠魔帖●水晶屠	屠魔帖●水晶屠
屠魔帖●倚天屠	屠魔帖●倚天屠
屠魔帖●青虹屠	屠魔帖●青虹屠
屠魔帖●赤霄屠	屠魔帖●赤霄屠
屠魔帖●震天屠	屠魔帖●震天屠
屠魔帖●天罡屠	屠魔帖●天罡屠
	
任务	任務
怪物掉落拾取	怪物掉落拾取
合成获得	合成獲得
礼包获得	禮包獲得
祈福获得	祈福獲得
开瓶子获得	開瓶子獲得
商店购买	商店購買
宠物繁殖获得	寵物繁殖獲得
职业礼包获得	職業禮包獲得
结婚坐骑	結婚坐騎
运镖	運鏢
参加家族运镖获取	參加家族運鏢獲取
宠物封印获得宠物蛋	寵物封印獲得寵物蛋
	
使用持续性道具	使用持续性道具
商店出售删除	商店出售刪除
强化删除	強化刪除
开瓶子删除	開瓶子刪除
使用道具删除	使用道具刪除
丢弃	丢弃
合成删除	合成刪除
铭刻删除	銘刻刪除
鉴定删除	鑒定刪除
死亡掉落	死亡掉落
到期删除 	到期刪除 
宠物封印删除宠物	寵物封印刪除寵物
	
	
快速出售	快速出售
摆摊出售	擺攤出售
购买拍卖成功	購買拍賣成功
放入拍卖	放入拍賣
开瓶子获得	開瓶子獲得
职业礼包获得	職業禮包獲得
提取邮件，家族	提取郵件，家族
商店购买	商店購買
任务	任務
礼包获得	禮包獲得
开瓶子获得	開瓶子獲得
合成获得	合成獲得
怪物掉落拾取	怪物掉落拾取
使用持续性道具	使用持續性道具
商店出售删除	商店出售刪除
合成删除	合成刪除
丢弃	丟棄
到期删除	到期刪除
死亡掉落	死亡掉落
	
